Zipcode,year,Borough,Neighborhood,Turnover_AllHomes,MedianSoldPrice_AllHomes,MedianSoldPricePerSqft_AllHomes,PctOfHomesDecreasingInValues_AllHomes,PctOfHomesIncreasingInValues_AllHomes,Income
10026,2011,Manhattan,Central Harlem,6.545175,735548.8838,631.8166098,16.35581301,81.6103252,"$50,336"
10026,2012,Manhattan,Central Harlem,6.369291667,695000,652.4402,15.60323171,82.40995935,"$54,078"
10026,2013,Manhattan,Central Harlem,6.335533333,568977.2738,743.2324841,13.3454878,84.80886179,"$56,260"
10027,2004,Manhattan,Central Harlem,4.5412875,1193598.998,1081.520819,23.88162602,73.61398374,"$36,026"
10027,2005,Manhattan,Central Harlem,4.709483333,811556.9463,957.327439,23.12904472,74.41361789,"$39,284"
10027,2006,Manhattan,Central Harlem,3.287466667,597559.5671,666.8219695,20.11871951,77.61215447,"$40,567"
10027,2007,Manhattan,Central Harlem,12.064225,831232.25,590.5694295,17.86097561,80.01105691,"$40,169"
10027,2008,Manhattan,Central Harlem,19.41895833,776097.7676,611.1930196,17.10839431,80.81069106,"$44,592"
10027,2009,Manhattan,Central Harlem,8.440533333,528207.3696,687.8813237,20.87130081,76.81252033,"$44,178"
10027,2010,Manhattan,Central Harlem,4.894225,749072.0074,618.1660224,18.61355691,79.21142276,"$44,028"
