# This automated data download from the USGS Tracking Water Quality of the Nation's Rivers and Streams website have not received director's approval and as such are provisional and are subject to revision. The data are released on the conditions that neither the USGS nor the United States Government may be held liable for any damages resulting from its use.
#
#SITE_QW_ID USGS station identifier for water-quality sampling (Note that opening this file in Excel may cause leading zeros to be dropped from this field unless imported into an open worksheet and changing columns A and B to text)
#SITE_FLOW_ID USGS or other agency station identifier for streamflow measurement (Note that opening this file in Excel may cause leading zeros to be dropped from this field unless imported into an open worksheet and changing columns A and B to text)
#CONSTIT Abbreviation indicating constituent type.  Values include NO3+NO2: nitrate plus nitrite as N; TN: total nitrogen as N; TP: total phosphorus as P; SSC: suspended-sediment concentration
#WY Water year; the 12-month period beginning on October 1 for any given year and lasting through September 30 of the following year. The water year is designated by the calendar year in which it ends.
#MODTYPE The type of model used to compute load values.  Values include "COMP" indicating the composite method; "CONTIN" indicating loads were computed through the use of continuous nitrate data; "DAILY" indicated data were computed using daily values (SSC only); REG indicating models were computed using regression methods described in the technical information portion of the website using a 5-year moving window; "REG_2; REG_3; REG_4" indicating models were computed using regression methods described in the technical information portion of the website but with a 2 3 or 4-year moving windows (respectively) as opposed to a 5-year moving window; "REG_PRELIM" indicating that a model was developed using data collecting during the initial 2-4 years in which a site was sampled; models at these sites will continue to be updated until 5 years of data are collected; and "REGHIST" indicating that models were historically computed according to procedures described in Aulenbach and others (2007)
#TONS Load in tons
#TONS_L95 Lower 95% confidence interval of the water-quality load in tons
#TONS_U95 Upper 95% confidence interval of the water-quality load in tons
#FWC Annual flow-weighted concentrations in milligrams per liter
#YIELD  Yield in tons per square mile
SITE_QW_ID,SITE_FLOW_ID,CONSTIT,WY,MODTYPE,TONS_LOAD,TONS_L95,TONS_U95,FWC,YIELD
07288955,07288955,SSC,2014,REG,4270000.0,3090000.0,5770000.0,248.0,320.0
07288955,07288955,TN,2014,REG,24900.0,21300.0,29000.0,1.44,1.87
07288955,07288955,TP,2014,REG,6370.0,5470.0,7370.0,0.369,0.477
07355500,NA,NO3_NO2,2014,REG,5510.0,2840.0,9700.0,0.249,0.0816
07355500,NA,TN,2014,REG,22200.0,19700.0,25000.0,1.0,0.33
07355500,NA,TP,2014,REG,3190.0,2700.0,3760.0,0.144,0.0473
07373420,USACE-01100,NO3_NO2,2014,COMP,607000.0,,,1.33,0.539
07373420,USACE-01100,NO3_NO2,2014,REG,594000.0,560000.0,632000.0,1.3,0.528
07373420,USACE-01100,SSC,2014,REG,74500000.0,69500000.0,79800000.0,163.0,66.2
07373420,USACE-01100,TN,2014,COMP,924000.0,,,2.02,0.821
07373420,USACE-01100,TN,2014,REG,892000.0,851000.0,938000.0,1.95,0.792
07373420,USACE-01100,TP,2014,COMP,126000.0,,,0.277,0.112
07373420,USACE-01100,TP,2014,REG,128000.0,119000.0,138000.0,0.28,0.114
07374000,07374000,NO3_NO2,2014,CONTIN,626000.0,619000.0,634000.0,1.33,0.556
07374000,07374000,NO3_NO2,2014,REG,597000.0,557000.0,638000.0,1.27,0.53
07374000,07374000,SSC,2014,REG,76200000.0,70300000.0,82600000.0,162.0,67.7
07374000,07374000,TN,2014,REG,931000.0,864000.0,1000000.0,1.98,0.827
07374000,07374000,TP,2014,REG,134000.0,122000.0,147000.0,0.286,0.119
07374525,07374525,NO3_NO2,2014,REG,641000.0,586000.0,700000.0,1.38,0.567
07374525,07374525,SSC,2014,REG,69500000.0,59100000.0,81100000.0,149.0,61.5
07374525,07374525,TN,2014,REG,971000.0,902000.0,1040000.0,2.09,0.86
07374525,07374525,TP,2014,REG,138000.0,127000.0,149000.0,0.297,0.122
07381495,USACE-03045,NO3_NO2,2014,COMP,213000.0,,,1.09,2.28
07381495,USACE-03045,NO3_NO2,2014,REG,213000.0,179000.0,252000.0,1.09,2.28
07381495,USACE-03045,SSC,2014,REG,28100000.0,25800000.0,30400000.0,143.0,301.0
07381495,USACE-03045,TN,2014,COMP,354000.0,,,1.81,3.79
07381495,USACE-03045,TN,2014,REG,364000.0,316000.0,417000.0,1.86,3.9
07381495,USACE-03045,TP,2014,COMP,50900.0,,,0.26,0.546
07381495,USACE-03045,TP,2014,REG,50300.0,46000.0,55000.0,0.257,0.539
07381590,07381590,NO3_NO2,2014,REG,101000.0,90800.0,112000.0,1.14,
07381590,07381590,TN,2014,REG,156000.0,146000.0,167000.0,1.76,
07381590,07381590,TP,2014,REG,20900.0,19100.0,22900.0,0.236,
07381600,07381600,NO3_NO2,2014,REG,109000.0,98000.0,121000.0,1.1,
07381600,07381600,TN,2014,REG,170000.0,158000.0,183000.0,1.72,
07381600,07381600,TP,2014,REG,22200.0,20000.0,24500.0,0.223,
08057200,08057200,NO3_NO2,2014,REG_3,42.4,33.2,53.3,0.934,0.639
08057410,08057410,NO3_NO2,2014,REG,7630.0,6800.0,8520.0,7.77,1.21
08057410,08057410,SSC,2014,REG,118000.0,94300.0,146000.0,120.0,18.8
08057410,08057410,TN,2014,REG_3,9070.0,8460.0,9710.0,9.24,1.44
08057410,08057410,TP,2014,REG,1200.0,1130.0,1280.0,1.23,0.192
08116650,08116650,SSC,2014,REG,2230.0,1620.0,2990.0,0.672,0.0492
08116650,08116650,TN,2014,REG,7950.0,6360.0,9810.0,2.4,0.175
08116650,08116650,TP,2014,REG,2230.0,1620.0,2990.0,0.672,0.0492
08364000,IBWC-08-3640.00,NO3_NO2,2014,REG,60.3,43.6,81.4,0.422,0.00187
08364000,IBWC-08-3640.00,SSC,2014,REG,87400.0,63000.0,118000.0,612.0,2.71
08364000,IBWC-08-3640.00,TN,2014,REG_PRELIM,257.0,207.0,315.0,1.8,0.00798
08364000,IBWC-08-3640.00,TP,2014,REG,79.8,60.8,103.0,0.559,0.00248
08475000,IBWC-08-4750.00,TN,2014,REG,304.0,275.0,336.0,1.46,0.00173
08475000,IBWC-08-4750.00,TP,2014,REG,36.6,29.5,44.8,0.176,0.000207
09163500,09163500,NO3_NO2,2014,REG_PRELIM,2230.0,1810.0,2720.0,0.323,0.125
